,movieId,genres,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,plot_keywords
0,1,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,claw crane|cowboy|jealousy|rivalry|toy
1,10,Action|Adventure|Thriller,GoldenEye,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,agent|cossack|official james bond series|russia|russian
2,14,Drama,Nixon,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,courtship|election|paranoia|president|quaker
3,15,Action|Adventure|Romance,Cutthroat Island,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,latin|pirate|pirate ship|treasure|treasure map
4,16,Crime|Drama,Casino,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,car bomb|card cheat|cash|casino|gambling syndicate
5,17,Drama|Romance,Sense and Sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,1810s|female protagonist|horseback riding|inheritance|three word title
6,18,Comedy,Four Rooms,Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,bellhop|coven|gangster|hotel|new year's eve
7,19,Comedy,Ace Ventura: When Nature Calls,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,africa|bat|hawaiian shirt|pregnancy|pregnant
8,20,Action|Comedy|Crime|Drama|Thriller,Money Train,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,bare breasts|breast|loan shark|subway|train
9,21,Comedy|Crime|Thriller,Get Shorty,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,debt|loan shark|mobster|movie business|producer
10,22,Crime|Drama|Horror|Mystery|Thriller,Copycat,Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,agoraphobia|copycat murder|detective|psychologist|serial killer
11,23,Action|Crime|Thriller,Assassins,Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,assassin|floppy disk|modem|rival|russian
12,25,Drama|Romance,Leaving Las Vegas,Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,alcoholic|bar|love|prostitute|sex
13,34,Children|Drama,Babe,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,dog|farmer|pig|sheep|sheepdog
14,36,Crime|Drama,Dead Man Walking,Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,death|execution|nun|solitary confinement|visit
15,39,Comedy|Romance,Clueless,Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,female protagonist|high school|makeover|matchmaker|popularity
16,41,Drama|War,Richard III,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,1930s|abuse of power|england|king|murder
17,7338,Drama|War,Richard III,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,1930s|abuse of power|england|king|murder
18,89323,Drama,Richard III,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,1930s|abuse of power|england|king|murder
19,43,Drama,Restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,
20,44,Action|Adventure|Fantasy,Mortal Kombat,Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,based on video game|island|mortal kombat|tournament|warrior
21,45,Comedy|Drama|Thriller,To Die For,Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,career|fame|murder|new hampshire|television
22,48,Animation|Children|Drama|Musical|Romance,Pocahontas,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia
23,57,Drama,Home for the Holidays,Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,dinner|gay interest|gay sibling|homosexual|thanksgiving
24,61,Drama|Thriller,Eye for an Eye,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,justice|rape|self defense|support group|vigilante
25,120299,(no genres listed),Eye for an Eye,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,justice|rape|self defense|support group|vigilante
26,62,Drama,Mr. Holland's Opus,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,1990s|high school|high school teacher|teacher inspires students|teaching
27,69,Comedy,Friday,F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,bully|drug dealer|first part|neighbor|neighborhood
28,70,Action|Comedy|Horror|Thriller,From Dusk Till Dawn,Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,brother|human versus vampire|rapist|stripper|vampire
29,71,Action,Fair Game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,bush administration|cia|interview|iraq|new york times
30,81641,Drama|Thriller,Fair Game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,bush administration|cia|interview|iraq|new york times
31,81,Crime|Drama|Romance,Things to Do in Denver When You're Dead,Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,death|finger gun|video message|what happened to epilogue|wheelchair
32,86,Action|Adventure|Drama,White Squall,Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry,acrophobia|jamaica|male bonding|prostitute|tragedy
33,92,Drama|Horror|Thriller,Mary Reilly,Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,19th century|butler|housemaid|laboratory|servant
34,93,Comedy|Horror|Romance,Vampire in Brooklyn,Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,blood|destiny|nightmare|partner|vampire
35,95,Action|Adventure|Thriller,Broken Arrow,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,captain|desert|major|park ranger|utah
36,54121,Drama|Romance|Western,Broken Arrow,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,captain|desert|major|park ranger|utah
37,100,Drama|Thriller,City Hall,Harold Becker,Al Pacino,Martin Landau,Bridget Fonda,drug dealer|mayor|new york city|probation|scandal
38,101,Adventure|Comedy|Crime|Romance,Bottle Rocket,Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,caper|escapade|motel|robbery|texas
39,104,Comedy,Happy Gilmore,Dennis Dugan,Adam Sandler,Kevin Nealon,Frances Bay,golf|golf ball|golfer|grandmother's house|tournament
40,110,Action|Drama|War,Braveheart,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,14th century|legend|revolt|scotland|tyranny
41,111,Crime|Drama|Thriller,Taxi Driver,Martin Scorsese,Robert De Niro,Albert Brooks,Peter Boyle,loner|neo noir|night shift|taxi driver|vigilante
42,122,Comedy|Romance,Boomerang,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer
43,64519,Crime|Drama|Film-Noir,Boomerang,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,advertising|battle of the sexes|dating|one word title|womanizer
44,132,Thriller,Jade,William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,blackmail|investigation|murder|panties pulled down|prostitution
45,137,Documentary,Man of the Year,Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,campaign|election|president|presidential election|satire
46,48593,Comedy|Thriller,Man of the Year,Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,campaign|election|president|presidential election|satire
47,145,Action|Comedy|Crime|Drama|Thriller,Bad Boys,Michael Bay,Will Smith,Tchéky Karyo,Theresa Randle,drugs|heroin|murder|police|witness
48,26462,Crime|Drama|Thriller,Bad Boys,Michael Bay,Will Smith,Tchéky Karyo,Theresa Randle,drugs|heroin|murder|police|witness
49,150,Adventure|Drama|IMAX,Apollo 13,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space
50,151,Action|Drama|Romance|War,Rob Roy,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,18th century|highlands|scotland|sexual cruelty|sword fight
51,153,Action|Adventure|Comedy|Crime,Batman Forever,Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,love|necktie|partner|rock music|tuxedo
52,158,Adventure|Children,Casper,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,casper|friendly ghost|ghost|maine|mansion
53,160,Action|Adventure|Mystery|Sci-Fi,Congo,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,captain|congo|expedition|laser|lost city
54,161,Drama|Thriller|War,Crimson Tide,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,alabama|mutiny|order|radio|submarine
55,163,Action|Romance|Western,Desperado,Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Salma Hayek,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many
56,168,Action|Drama|Romance,First Knight,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,battle|king|king arthur|knight|marriage
57,170,Action|Adventure|Crime|Thriller,Hackers,Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,computer|computer virus|cyberpunk|fight the system|sexual fantasy
58,175,Drama,Kids,Larry Clark,Rosario Dawson,Leo Fitzpatrick,Justin Pierce,coming of age|marijuana|rape|virgin|weed
59,180,Comedy|Romance,Mallrats,Kevin Smith,Ethan Suplee,Jason Mewes,Joey Lauren Adams,comic|ex girlfriend|jay and silent bob|mall|teenager
60,190,Thriller,Safe,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,bodyguard|gang war|russian|russian mafia|triad
61,94405,Action|Crime|Thriller,Safe,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,bodyguard|gang war|russian|russian mafia|triad
62,193,Drama,Showgirls,Paul Verhoeven,Bobbie Phillips,Elizabeth Berkley,Robert Davi,cult film|lap dance|lap dancing|stripper|striptease
63,196,Horror|Sci-Fi,Species,Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train
64,204,Action,Under Siege 2: Dark Territory,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,colorado|niece|satellite|terrorist|train
65,208,Action|Adventure|Sci-Fi,Waterworld,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,future|sail|sea|smoker|water
66,215,Drama|Romance,Before Sunrise,Richard Linklater,Hanno Pöschl,Hans Weingartner,Dominik Castell,american|conversations|kiss|love|train
67,223,Comedy,Clerks,Kevin Smith,Jason Mewes,Brian O'Halloran,Jeff Anderson,clerk|friend|hockey|video|video store
68,224,Comedy|Drama|Romance,Don Juan DeMarco,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,don juan|mental institution|patient|psychiatrist|retirement
69,225,Drama|Thriller,Disclosure,Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,computer|marriage|non statutory female on male rape|promotion|sexual harassment
70,233,Drama,Exotica,Atom Egoyan,Bruce Greenwood,Mia Kirshner,Sarah Polley,bird|cult film|egg|nightclub|toronto
71,235,Comedy|Drama,Ed Wood,Tim Burton,Johnny Depp,Bill Murray,Martin Landau,1950s|director|friend|friendship|transvestism
72,246,Documentary,Hoop Dreams,Steve James,William Gates,Arthur Agee,Isiah Thomas,athlete|basketball|high school|high school student|school
73,247,Crime|Drama,Heavenly Creatures,Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,fantasy life|friend|friendship|love|teenage crush
74,253,Drama|Horror,Interview with the Vampire: The Vampire Chronicles,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,betrayal|dangerous friend|gothic|monster as victim|vampire
75,254,Drama,Jefferson in Paris,James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,18th century|ambassador|french revolution|friendship|thomas jefferson
