"url","Image","Image_alt","Image_link","Overviewtop link","Overviewtop link_link","Absmiddle image","Absmiddle image_alt","Certruntime value 1","Certruntime value 3","Certruntime value 4","Certruntime value 5","Certruntime value 6","Metascoreno content","Outline description","Director link","Director link_link","Stars","Stars_link","Stars (1)","Stars (1)_link","Stars (2)","Stars (2)_link","Stars (3)","Stars (3)_link"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMTc5NDQ4MzE1OV5BMl5BanBnXkFtZTgwMjA0MjMxODE@._V1_UY209_CR1,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMTc5NDQ4MzE1OV5BMl5BanBnXkFtZTgwMjA0MjMxODE@._V1_UY209_CR1,0,140,209_AL_.jpg","The Light Between Oceans (2016) Poster; The Light Between Oceans (2016) Poster","http://www.imdb.com/title/tt2547584/?ref_=cs_ov_i; http://www.imdb.com/title/tt2547584/?ref_=cs_ov_i","The Light Between Oceans (2016)","http://www.imdb.com/title/tt2547584/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB271197458_.png","Certificate PG-13","130 min","Drama","Romance",,,,"A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.","Derek Cianfrance","http://www.imdb.com/name/nm0161834/?ref_=cs_ov_nm","Alicia Vikander","http://www.imdb.com/name/nm2539953/?ref_=cs_ov_nm","Michael Fassbender","http://www.imdb.com/name/nm1055413/?ref_=cs_ov_nm","Rachel Weisz","http://www.imdb.com/name/nm0001838/?ref_=cs_ov_nm","Bryan Brown","http://www.imdb.com/name/nm0000986/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BNGQ5ODRjZTEtMzkwOS00NzBmLWFlNDItZTdkMDMzZGQ2NTI4XkEyXkFqcGdeQXVyMTUwMjM2Ng@@._V1_UY209_CR133,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BNGQ5ODRjZTEtMzkwOS00NzBmLWFlNDItZTdkMDMzZGQ2NTI4XkEyXkFqcGdeQXVyMTUwMjM2Ng@@._V1_UY209_CR133,0,140,209_AL_.jpg","Patient Zero (2016) Poster; Patient Zero (2016) Poster","http://www.imdb.com/title/tt3458254/?ref_=cs_ov_i; http://www.imdb.com/title/tt3458254/?ref_=cs_ov_i","Patient Zero (2016)","http://www.imdb.com/title/tt3458254/?ref_=cs_ov_tt","","",,"Action","Drama","Horror",,,"After an unprecedented global pandemic has turned the majority of humankind into violent ""Infected,"" a man gifted with the ability to speak the Infected's new language leads the last survivors on a hunt for Patient Zero and a cure.","Stefan Ruzowitzky","http://www.imdb.com/name/nm0752328/?ref_=cs_ov_nm","Natalie Dormer","http://www.imdb.com/name/nm1754059/?ref_=cs_ov_nm","Clive Standen","http://www.imdb.com/name/nm1641140/?ref_=cs_ov_nm","Stanley Tucci","http://www.imdb.com/name/nm0001804/?ref_=cs_ov_nm","Matt Smith","http://www.imdb.com/name/nm1741002/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BNTY2MWFkOTMtMTlkMC00YzE0LTkzNjAtYzA5OWIzMmQ2MTgzXkEyXkFqcGdeQXVyNTg0ODIxMDI@._V1_UY209_CR2,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BNTY2MWFkOTMtMTlkMC00YzE0LTkzNjAtYzA5OWIzMmQ2MTgzXkEyXkFqcGdeQXVyNTg0ODIxMDI@._V1_UY209_CR2,0,140,209_AL_.jpg","Solace (2015) Poster; Solace (2015) Poster","http://www.imdb.com/title/tt1291570/?ref_=cs_ov_i; http://www.imdb.com/title/tt1291570/?ref_=cs_ov_i","Solace (2015)","http://www.imdb.com/title/tt1291570/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/r-2493392566._CB271202403_.png","Certificate R","101 min","Crime","Drama","Mystery","Thriller","Metascore: 41/100 (4 reviews); Metascore: 41/100 (4 reviews)","A psychic works with the FBI in order to hunt down a serial killer.","Afonso Poyart","http://www.imdb.com/name/nm4139472/?ref_=cs_ov_nm","Anthony Hopkins","http://www.imdb.com/name/nm0000164/?ref_=cs_ov_nm","Jeffrey Dean Morgan","http://www.imdb.com/name/nm0604742/?ref_=cs_ov_nm","Abbie Cornish","http://www.imdb.com/name/nm0180411/?ref_=cs_ov_nm","Colin Farrell","http://www.imdb.com/name/nm0268199/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMTU1ODM1NzU0Ml5BMl5BanBnXkFtZTgwMzk5OTU3ODE@._V1_UY209_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMTU1ODM1NzU0Ml5BMl5BanBnXkFtZTgwMzk5OTU3ODE@._V1_UY209_CR0,0,140,209_AL_.jpg","No manches Frida (2016) Poster; No manches Frida (2016) Poster","http://www.imdb.com/title/tt5259966/?ref_=cs_ov_i; http://www.imdb.com/title/tt5259966/?ref_=cs_ov_i","No manches Frida (2016)","http://www.imdb.com/title/tt5259966/?ref_=cs_ov_tt","","",,"Comedy",,,,,,"Nacho G. Velilla","http://www.imdb.com/name/nm1818121/?ref_=cs_ov_nm","Omar Chaparro","http://www.imdb.com/name/nm1410318/?ref_=cs_ov_nm","Martha Higareda","http://www.imdb.com/name/nm1172285/?ref_=cs_ov_nm","Rocio Garcia","http://www.imdb.com/name/nm5687461/?ref_=cs_ov_nm","Fernanda Castillo","http://www.imdb.com/name/nm1448869/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMTNhMzhhNGEtNjU3OS00Njk0LTk3ZDUtNzcxOWQ4NjY3MjU4XkEyXkFqcGdeQXVyNDk4NzAyNzU@._V1_UX140_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMTNhMzhhNGEtNjU3OS00Njk0LTk3ZDUtNzcxOWQ4NjY3MjU4XkEyXkFqcGdeQXVyNDk4NzAyNzU@._V1_UX140_CR0,0,140,209_AL_.jpg","Sully (2016) Poster; Sully (2016) Poster","http://www.imdb.com/title/tt3263904/?ref_=cs_ov_i; http://www.imdb.com/title/tt3263904/?ref_=cs_ov_i","Sully (2016)","http://www.imdb.com/title/tt3263904/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB271197458_.png","Certificate PG-13",,"Biography","Drama",,,,"The story of Chesley Sullenberger, who became a hero after gliding his plane along the water in the Hudson River, saving all of his 155 passengers.","Clint Eastwood","http://www.imdb.com/name/nm0000142/?ref_=cs_ov_nm","Tom Hanks","http://www.imdb.com/name/nm0000158/?ref_=cs_ov_nm","Anna Gunn","http://www.imdb.com/name/nm0348152/?ref_=cs_ov_nm","Aaron Eckhart","http://www.imdb.com/name/nm0001173/?ref_=cs_ov_nm","Sam Huntington","http://www.imdb.com/name/nm0403134/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMjIwMDE3MTMyMl5BMl5BanBnXkFtZTgwMjc2NjY3NTE@._V1_UY209_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMjIwMDE3MTMyMl5BMl5BanBnXkFtZTgwMjc2NjY3NTE@._V1_UY209_CR0,0,140,209_AL_.jpg","Before I Wake (2016) Poster; Before I Wake (2016) Poster","http://www.imdb.com/title/tt3174376/?ref_=cs_ov_i; http://www.imdb.com/title/tt3174376/?ref_=cs_ov_i","Before I Wake (2016)","http://www.imdb.com/title/tt3174376/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB271197458_.png","Certificate PG-13","97 min","Drama","Fantasy","Horror","Thriller",,"A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.","Mike Flanagan","http://www.imdb.com/name/nm1093039/?ref_=cs_ov_nm","Kate Bosworth","http://www.imdb.com/name/nm0098378/?ref_=cs_ov_nm","Jacob Tremblay","http://www.imdb.com/name/nm5016878/?ref_=cs_ov_nm","Annabeth Gish","http://www.imdb.com/name/nm0001272/?ref_=cs_ov_nm","Thomas Jane","http://www.imdb.com/name/nm0005048/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BZDYzODU2OTgtZDNhMS00Nzk4LWEyZGMtYmJiYmZlNWUwYmYyXkEyXkFqcGdeQXVyNjAwMjI5MzY@._V1_UY209_CR6,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BZDYzODU2OTgtZDNhMS00Nzk4LWEyZGMtYmJiYmZlNWUwYmYyXkEyXkFqcGdeQXVyNjAwMjI5MzY@._V1_UY209_CR6,0,140,209_AL_.jpg","Shut In (2016) Poster; Shut In (2016) Poster","http://www.imdb.com/title/tt2582500/?ref_=cs_ov_i; http://www.imdb.com/title/tt2582500/?ref_=cs_ov_i","Shut In (2016)","http://www.imdb.com/title/tt2582500/?ref_=cs_ov_tt","","",,"Drama","Thriller",,,,"A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.","Farren Blackburn","http://www.imdb.com/name/nm1879225/?ref_=cs_ov_nm","Naomi Watts","http://www.imdb.com/name/nm0915208/?ref_=cs_ov_nm","Jacob Tremblay","http://www.imdb.com/name/nm5016878/?ref_=cs_ov_nm","Oliver Platt","http://www.imdb.com/name/nm0001624/?ref_=cs_ov_nm","David Cubitt","http://www.imdb.com/name/nm0190931/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMTkwMzgxNDc2MV5BMl5BanBnXkFtZTgwMDI2NDQ0NzE@._V1_UY209_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMTkwMzgxNDc2MV5BMl5BanBnXkFtZTgwMDI2NDQ0NzE@._V1_UY209_CR0,0,140,209_AL_.jpg","The Wild Life (2016) Poster; The Wild Life (2016) Poster","http://www.imdb.com/title/tt4731008/?ref_=cs_ov_i; http://www.imdb.com/title/tt4731008/?ref_=cs_ov_i","The Wild Life (2016)","http://www.imdb.com/title/tt4731008/?ref_=cs_ov_tt","","","90 min","Animation","Adventure","Comedy",,,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe. Tuesday immediately views Crusoe as his ticket off the island to explore new lands. Likewise, Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals. It isn't always easy at first, as the animals don't speak ""human."" Slowly but surely, they all start living together in harmony, until one day, when their comfortable life is overturned by two savage cats, who wish to take control of the island. A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats).","Vincent Kesteloot; Ben Stassen","http://www.imdb.com/name/nm1062463/?ref_=cs_ov_nm; http://www.imdb.com/name/nm0823721/?ref_=cs_ov_nm","Ron Allen","http://www.imdb.com/name/nm8052615/?ref_=cs_ov_nm","George Babbit","http://www.imdb.com/name/nm6571727/?ref_=cs_ov_nm","Laila Berzins","http://www.imdb.com/name/nm5389637/?ref_=cs_ov_nm","Ilka Bessin","http://www.imdb.com/name/nm2558242/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMjQyMTI0MjIyOV5BMl5BanBnXkFtZTgwMzEyMjQ1ODE@._V1_UY209_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMjQyMTI0MjIyOV5BMl5BanBnXkFtZTgwMzEyMjQ1ODE@._V1_UY209_CR0,0,140,209_AL_.jpg","Bridget Jones's Baby (2016) Poster; Bridget Jones's Baby (2016) Poster","http://www.imdb.com/title/tt1473832/?ref_=cs_ov_i; http://www.imdb.com/title/tt1473832/?ref_=cs_ov_i","Bridget Jones's Baby (2016)","http://www.imdb.com/title/tt1473832/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/r-2493392566._CB271202403_.png","Certificate R",,"Comedy","Romance",,,,"The continuing adventures of British publishing executive Bridget Jones as she enters her 40s.","Sharon Maguire","http://www.imdb.com/name/nm0536632/?ref_=cs_ov_nm","Renée Zellweger","http://www.imdb.com/name/nm0000250/?ref_=cs_ov_nm","Patrick Dempsey","http://www.imdb.com/name/nm0001131/?ref_=cs_ov_nm","Emma Thompson","http://www.imdb.com/name/nm0000668/?ref_=cs_ov_nm","Colin Firth","http://www.imdb.com/name/nm0000147/?ref_=cs_ov_nm"
"http://www.imdb.com/movies-coming-soon/2016-09/?ref_=cs_dt_nx","http://ia.media-imdb.com/images/M/MV5BMTc4MTk3Mzk4NV5BMl5BanBnXkFtZTgwMDgzNDUyOTE@._V1_UY209_CR0,0,140,209_AL_.jpg; http://ia.media-imdb.com/images/M/MV5BMTc4MTk3Mzk4NV5BMl5BanBnXkFtZTgwMDgzNDUyOTE@._V1_UY209_CR0,0,140,209_AL_.jpg","When the Bough Breaks (2016) Poster; When the Bough Breaks (2016) Poster","http://www.imdb.com/title/tt1389139/?ref_=cs_ov_i; http://www.imdb.com/title/tt1389139/?ref_=cs_ov_i","When the Bough Breaks (2016)","http://www.imdb.com/title/tt1389139/?ref_=cs_ov_tt","http://ia.media-imdb.com/images/G/01/imdb/images/certificates/us/pg_13-2767653680._CB271197458_.png","Certificate PG-13",,"Drama","Horror","Mystery","Thriller",,"A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.","Jon Cassar","http://www.imdb.com/name/nm0143984/?ref_=cs_ov_nm","Morris Chestnut","http://www.imdb.com/name/nm0004820/?ref_=cs_ov_nm","Regina Hall","http://www.imdb.com/name/nm0356021/?ref_=cs_ov_nm","Theo Rossi","http://www.imdb.com/name/nm0744331/?ref_=cs_ov_nm","Glenn Morshower","http://www.imdb.com/name/nm0607703/?ref_=cs_ov_nm"
